Home Assistant notifications (Log started: 2020-08-10T21:59:55.053783+00:00)
--------------------------------------------------------------------------------
2020-08-10,35.3
2020-08-11,39.62
2020-08-12,38.96
2020-08-13,33.32
2020-08-14,21.11
2020-08-15,28.21
2020-08-16,28.81
2020-08-17,15.77
2020-08-18,32.51
2020-08-19,31.2
2020-08-20,27.4
2020-08-21,17.62
2020-08-22,31.01
2020-08-23,25.33
2020-08-24,19.77
2020-08-25,25.15
2020-08-26,9.34
2020-08-27,21.59
2020-08-28,24.31
2020-08-29,27.38
2020-08-30,25.8
2020-08-31,22.56
2020-09-01,32.74
2020-09-02,24.62
2020-09-03,16.72
2020-09-04,26.72
2020-09-05,14.67
2020-09-06,28.59
2020-09-07,22.02, 72.3
2020-09-08,12.04, 77.0
2020-09-09,15.81, 71.2
2020-09-10,21.35, 71.8
2020-09-11,25.31, 73.6
2020-09-12,27.73, 53.9
2020-09-13,23.0, 73.8
2020-09-14,27.44, 77.4
2020-09-15,24.48, 67.6
2020-09-16,22.82, 72.9
2020-09-17,27.52, 66.9
2020-09-18,27.21, 69.9
2020-09-19,24.81, 67.4
2020-09-20,24.41, 68.0
2020-09-21,23.77, 71.1
2020-09-22,22.85, 73.0
2020-09-23,21.01, 74.6
2020-09-24,20.49, 64.3
2020-09-25,20.62, 67.5
2020-09-26,8.36, 76.5
2020-09-27,7.96, 78.8
2020-09-28,14.37, 70.4
2020-09-29,20.6, 70.3
2020-09-30,13.49, 77.4
2020-10-01,17.1, 71.5
2020-10-02,16.28, 73.2
2020-10-03,13.33, 66.2
2020-10-04,12.38, 69.4
2020-10-05,11.29, 70.8
2020-10-06,10.21, 77.8
2020-10-07,10.46, 73.7
2020-10-08,4.85, 98.3
2020-10-09,11.72, 80.6
2020-10-10,13.66, 71.1
2020-10-11,10.91, 74.4
2020-10-12,11.25, 68.7
2020-10-13,14.72, 71.3
2020-10-14,8.27, 75.6
2020-10-15,9.7, 76.0
2020-10-16,10.92, 74.9
2020-10-17,10.19, 71.8
2020-10-18,7.24, 76.8
2020-10-19,8.76, 79.9
2020-10-20,7.72, 71.4
2020-10-21,4.65, 93.5
2020-10-22,8.68, 76.4
2020-10-23,5.89, 90.6
2020-10-24,7.17, 76.0
2020-10-25,4.88, 88.5
2020-10-26,4.36, 94.9
2020-10-27,6.85, 86.6
2020-10-28,6.61, 79.5
2020-10-29,6.4, 80.5
2020-10-30,2.57, 96.9
2020-10-31,5.23, 78.3
2020-11-01,6.89, 81.4
2020-11-02,5.24, 86.6
2020-11-03,7.12, 84.8
2020-11-04,6.55, 82.3
2020-11-05,7.29, 93.2
2020-11-06,7.16, 79.8
2020-11-07,5.31, 92.2
2020-11-08,5.18, 84.1
2020-11-09,4.52, 95.6
2020-11-10,2.29, 100.0
2020-11-11,2.48, 96.7
2020-11-12,5.2, 90.9
2020-11-13,4.96, 82.1
2020-11-14,4.84, 79.6
2020-11-15,4.37, 83.6
2020-11-16,3.39, 90.2
2020-11-17,1.6, 100.0
2020-11-18,3.79, 94.4
2020-11-19,0, 92.8
2020-11-20,2.3, 97.4
2020-11-21,1.35, 99.9
2020-11-22,2.18, 98.1
2020-11-23,2.06, 96.1
2020-11-24,1.71, 100.0
2020-11-25,2.1, 100.0
2020-11-26,0.56, 99.6
2020-11-27,1.82, 99.9
2020-11-28,1.99, 94.4
2020-11-29,3.79, 71.6
2020-11-30,3.68, 95.6
2020-12-01,0, 100.0
2020-12-02,0, 0
2020-12-03,1.72, 99.3
2020-12-04,2.76, 98.7
2020-12-05,2.86, 84.0
2020-12-06,1.69, 100.0
2020-12-07,1.79, 98.3
2020-12-08,3.34, 96.8
2020-12-09,0.97, 100.0
2020-12-10,0.88, 100.0
2020-12-11,2.33, 99.8
2020-12-12,2.02, 100.0
2020-12-13,1.44, 95.3
2020-12-14,2.24, 99.3
2020-12-15,1.62, 99.8
2020-12-16,3.13, 97.8
2020-12-17,1.45, 99.8
2020-12-18,2.26, 99.8
2020-12-19,2.09, 99.7
2020-12-20,2.0, 100.0
2020-12-21,2.78, 98.5
